,Cu,NaOH,median_ratio,fit_A,fit_B,fit_C
0,144.9,4.7,1.0770138631999846,1.561418459501685,0.07306612156745333,2.0801407172749946
1,150.5,4.7,1.1106560001366028,1.4049964974584868,0.2233899916845388,2.420197513318561
2,156.1,4.7,1.1089575994532048,1.4549487809804735,0.1538475892726112,2.2279188332052753
3,161.7,4.7,1.1140186915887846,1.2572895101554429,0.19095011096008385,2.242446006976701
4,167.3,4.7,1.0820906193822517,0.9631543021435329,0.18590907123272313,1.880868267604816
5,173.0,4.7,1.0743405275779379,1.9239546816572584,0.03168172055858899,2.2278609886247365
6,178.6,4.7,1.109433972223833,0.8658910535764311,0.26034178586549905,1.909810139969753
7,184.2,4.7,1.0732337207157348,1.3237218564527995,0.11040285925590644,2.0566714696195856
8,189.8,4.7,1.0904814184865157,1.153822085091494,0.17237389868136188,2.0620442682505105
9,195.4,4.7,1.1002530903665808,0.9569955311967798,0.2553803812558941,2.1911773880571346
10,201.0,4.7,1.1006070221425115,1.3989284980411174,0.20004001211560507,2.438700310200975
11,206.6,4.7,1.0913196079270635,1.3469483023062383,0.13758189401462384,2.150676690194691
12,144.9,5.1,1.0862533692722383,1.4466349877091833,0.08293244459703042,1.8442028236940828
13,150.5,5.1,1.1085594989561587,1.552241376224733,0.1032573911069021,2.1279187597059868
14,156.1,5.1,1.089947089947091,1.3088145540918064,0.1241046947220586,1.7824231584157446
15,161.7,5.1,1.1145194274028631,1.5365614246434536,0.07653294177405526,1.8376242993152905
16,167.3,5.1,1.075282101968536,1.3664140256256347,0.08274200738398221,1.8457320942404536
17,173.0,5.1,1.078943205189051,1.506802313366118,0.08580709090371719,2.0444636774463647
18,178.6,5.1,1.1061533016482947,1.0462958858768436,0.188186104276871,1.7042173230031263
19,184.2,5.1,1.1233075071460823,1.363034942875815,0.2562852515924617,2.57747431322808
20,189.8,5.1,1.1465798045602604,1.1381817881516298,0.2995067602333268,2.454634137185614
21,195.4,5.1,1.0972233029855016,1.1957946658846619,0.13634103526846467,1.7191801982051131
22,201.0,5.1,1.0782448509131852,1.082705876729316,0.1325111405051649,1.86803840931926
23,206.6,5.1,1.0886699507389157,1.4341540531875108,0.09014352007734677,2.0222189622351485
24,144.9,5.5,1.075678366940501,1.4546483542611228,0.05043793647370562,1.5913967157020463
25,150.5,5.5,1.0586014586014585,1.3749820052052513,0.06264701182393025,1.7877650187599328
26,156.1,5.5,1.0919294273565643,1.4477674084605303,0.0716595094169078,1.6844890686023306
27,161.7,5.5,1.071472215621712,1.255040978361096,0.10946184718347252,1.695913104518317
28,167.3,5.5,1.065731086623512,1.4242734233777194,0.048559609266306994,1.5904581994849756
29,173.0,5.5,1.0725745462402767,1.1303854838561225,0.10869964041246027,1.655599779467822
30,178.6,5.5,,,,
31,184.2,5.5,,,,
32,189.8,5.5,1.1064122433165444,1.2636808712639263,0.1902907101307462,2.503471569975995
33,195.4,5.5,1.0600600600600607,1.3066007058433156,0.06241268033483756,1.6080227347321567
34,201.0,5.5,1.0550566315930567,1.7170844089733284,0.05510331093071823,1.9608408092499208
35,206.6,5.5,1.113314793130366,1.2472224418508493,0.14960295694593168,1.7060106980812544
36,144.9,5.9,1.0872093023255807,1.4379067622917263,0.06776037108879888,1.6137198964481159
37,150.5,5.9,1.0893854748603344,1.4175836273374303,0.07482533556449741,1.4937376309554522
38,156.1,5.9,1.0588279247278456,1.4319586746305963,0.036637166657904015,1.4653586256056639
39,161.7,5.9,1.0869565217391317,1.4540141868687648,0.048332553006224986,1.4822342305559588
40,167.3,5.9,1.0647482014388499,1.555203532384238,0.045193720175105645,1.6006958818959975
41,173.0,5.9,1.111814345991562,1.315081003942915,0.1117424784262932,1.739789821639476
